question,question_text,row_number,response_id,current_value,error_reason,valid_options
Q2,What is the position of the VCA representative?,2,f350ad3b-bf18-4488-9a43-b0b3a95dfb2b,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,3,27538665-6b5a-48fa-82ac-4bf2a235bc55,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,4,5b0052ef-41a0-4ecb-84e5-d394982ab802,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,5,5d5d99ea-9b8b-492e-98ab-5ff9bdc73cbb,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,6,bf7dee84-17d5-49cb-9e97-70fc72c393c4,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,7,ea96c77e-41fd-439c-8de2-62915c19516a,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,8,3b261a51-8682-42ab-8f11-99a941747bb4,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,9,821439a4-f821-4df8-9260-a53786ee98f3,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,10,9d4b9b9a-eed8-4568-a0bc-e841ffcfe60c,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,11,22d0d068-525a-4102-bc6d-6025a42150ba,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,12,ffaadb50-c86f-488b-9594-d550b81afd19,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,13,7faccb63-4878-49a6-86aa-70a5ba2530e3,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,14,d5a45e38-ecd2-440f-abb7-95418efca0c6,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,15,3eda3e4a-bb49-4067-ae63-e425a92dd682,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,16,5893e974-35a6-4539-a2f6-873668d706db,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,17,1eb19631-cd69-436f-8112-6b6990c400f4,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,18,768f9a5a-bfb0-41cb-ac6b-5c4ea939fcac,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,19,963d74a2-c3cb-45e1-96c6-de68a799d952,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,20,843bc49b-9e56-43f1-ad44-fea7d792507c,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,21,605f3bc0-117e-44b6-9835-2a36bb10fade,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,22,11ad481a-08bc-4b20-bb32-8062f3d132ab,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,23,28433b76-bb7f-4aeb-83cd-dfbc7494eefe,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,24,1e090148-cb2f-4d11-ace0-92d4e0bdb468,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,25,dd05a9ec-c782-449f-a6df-7874a449abb3,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,26,e6288ef6-39d7-483f-888f-40667c7f019d,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,27,8d32857a-06f1-4d24-8e2d-448838a48bd2,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,28,37cfec1a-9d29-44b1-acb3-c0a9509d521d,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,29,47e01f55-1cde-4393-90df-6bffc04e2842,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,30,b1056d9d-0003-490f-9a9e-2b592004d370,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,31,f75a8d11-a304-477a-a887-354bec322380,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,32,baf76336-5e74-431a-8dde-0f4ea60fff6a,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,33,faadf1c1-92f1-4fb7-8153-6575c0fff501,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,34,04dfc5a4-a00b-4da9-bb4c-d8a0308d8047,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,35,18c54fc6-b157-42ec-84f3-6a7ab42027b0,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,36,de0cf1e0-b2d7-480b-b505-6a969ed19135,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,37,db3547db-9005-4765-954f-a9933710e196,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,38,3ad61571-1790-4c6e-bd30-0c08ca428870,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,39,800ff6d2-b70e-4c3f-944c-c35f1f54c464,,Missing value,"Owner, Manager"
Q2,What is the position of the VCA representative?,40,31ff9229-c28e-4468-a3fe-75a361906543,,Missing value,"Owner, Manager"
